
ZONETOLLRATE,ODPAIRNAME                                        ,  ODPAIRID,STARTZONENAME                                     ,STARTZONEID,INTERVALENDDATETI,CURRENTDATETIME  ,ENDZONENAME                                       , ENDZONEID,CORRIDORN,CORRIDORID                                                                      ,CALULCATEDDATETIM,LINKSTATUS          
       12.95,I-395-95-495 TO ROUTE 7                           ,      1011,NB 495 TP Before Braddock (TP2NB)                 ,     495002,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past 66 (TP6NB)                         ,    495006,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       14.00,I-395-95-495 TO WESTPARK                          ,      1012,NB 495 TP Before Braddock (TP2NB)                 ,     495002,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Leesburg Pike (TP7NB)            ,    495007,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       15.55,I-395-95-495 TO JONES BR                          ,      1013,NB 495 TP Before Braddock (TP2NB)                 ,     495002,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       17.20,I-395-95-495 TO RT 267                            ,      1014,NB 495 TP Before Braddock (TP2NB)                 ,     495002,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       30.20,I-395-95-495 TO I-495 N                           ,      1015,NB 495 TP Before Braddock (TP2NB)                 ,     495002,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 267(TP9NB)                   ,    495009,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        6.40,BRADDOCK TO LEE HWY                               ,      1016,NB 495 TP Before Gallows (TP3NB)                  ,     495003,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 50 (TP4NB)                   ,    495004,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        9.40,BRADDOCK TO I-66                                  ,      1017,NB 495 TP Before Gallows (TP3NB)                  ,     495003,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Lee Highway (TP5NB)                ,    495005,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       11.50,BRADDOCK TO ROUTE 7                               ,      1018,NB 495 TP Before Gallows (TP3NB)                  ,     495003,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past 66 (TP6NB)                         ,    495006,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       12.55,BRADDOCK TO WESTPARK                              ,      1019,NB 495 TP Before Gallows (TP3NB)                  ,     495003,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Leesburg Pike (TP7NB)            ,    495007,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       14.10,BRADDOCK TO JONES BR                              ,      1020,NB 495 TP Before Gallows (TP3NB)                  ,     495003,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       15.75,BRADDOCK TO RT 267                                ,      1021,NB 495 TP Before Gallows (TP3NB)                  ,     495003,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       28.75,BRADDOCK TO I-495 N                               ,      1022,NB 495 TP Before Gallows (TP3NB)                  ,     495003,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 267(TP9NB)                   ,    495009,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        2.30,GALLOWS TO LEE HWY                                ,      1023,NB 495 TP Past Route 50 (TP4NB)                   ,     495004,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 50 (TP4NB)                   ,    495004,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        5.30,GALLOWS TO I-66                                   ,      1024,NB 495 TP Past Route 50 (TP4NB)                   ,     495004,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Lee Highway (TP5NB)                ,    495005,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        7.40,GALLOWS TO ROUTE 7                                ,      1025,NB 495 TP Past Route 50 (TP4NB)                   ,     495004,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past 66 (TP6NB)                         ,    495006,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        8.45,GALLOWS TO WESTPARK                               ,      1026,NB 495 TP Past Route 50 (TP4NB)                   ,     495004,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Leesburg Pike (TP7NB)            ,    495007,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       10.00,GALLOWS TO JONES BR                               ,      1027,NB 495 TP Past Route 50 (TP4NB)                   ,     495004,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       11.65,GALLOWS TO RT 267                                 ,      1028,NB 495 TP Past Route 50 (TP4NB)                   ,     495004,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       24.60,GALLOWS TO I-495 N                                ,      1029,NB 495 TP Past Route 50 (TP4NB)                   ,     495004,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 267(TP9NB)                   ,    495009,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        2.25,I-66 TO ROUTE 7                                   ,      1030,NB 495 TP Past 66 (TP6NB)                         ,     495006,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past 66 (TP6NB)                         ,    495006,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        3.30,I-66 TO WESTPARK                                  ,      1031,NB 495 TP Past 66 (TP6NB)                         ,     495006,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Leesburg Pike (TP7NB)            ,    495007,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        4.85,I-66 TO JONES BR                                  ,      1032,NB 495 TP Past 66 (TP6NB)                         ,     495006,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        6.50,I-66 TO RT 267                                    ,      1033,NB 495 TP Past 66 (TP6NB)                         ,     495006,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       19.45,I-66 TO I-495 N                                   ,      1034,NB 495 TP Past 66 (TP6NB)                         ,     495006,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 267(TP9NB)                   ,    495009,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        1.85,WESTPARK TO JONES BR                              ,      1035,NB 495 TP Before Jones Branch (TP8NB)             ,     495008,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        3.15,WESTPARK TO RT 267                                ,      1036,NB 495 TP Before Jones Branch (TP8NB)             ,     495008,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Jones Branch (TP8NB)             ,    495008,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       16.15,WESTPARK TO I-495 N                               ,      1037,NB 495 TP Before Jones Branch (TP8NB)             ,     495008,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 267(TP9NB)                   ,    495009,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       14.60,JONES BR TO I-495 N                               ,      1038,NB 495 TP Past Route 267(TP9NB)                   ,     495009,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 267(TP9NB)                   ,    495009,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,I-495 NEAR MD TO I-395-495-HOV                    ,      1039,SB 495 TP Before Route 267 (TP9SB)                ,     495109,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       13.05,I-495 NEAR MD TO I-95 HOV                         ,      1040,SB 495 TP Before Route 267 (TP9SB)                ,     495109,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       13.05,I-495 NEAR MD TO I-395-95-495                     ,      1041,SB 495 TP Before Route 267 (TP9SB)                ,     495109,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Braddock (TP2SB)                   ,    495102,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       11.95,I-495 NEAR MD TO BRADDOCK                         ,      1042,SB 495 TP Before Route 267 (TP9SB)                ,     495109,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Gallows (TP3SB)                    ,    495103,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       10.25,I-495 NEAR MD TO GALLOWS                          ,      1043,SB 495 TP Before Route 267 (TP9SB)                ,     495109,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before Route 50 (TP4SB)                 ,    495104,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        8.05,I-495 NEAR MD TO I-66                             ,      1044,SB 495 TP Before Route 267 (TP9SB)                ,     495109,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 66 (TP6SB)                       ,    495106,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        4.55,I-495 NEAR MD TO WESTPARK (B)                     ,      1045,SB 495 TP Before Route 267 (TP9SB)                ,     495109,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Jones Branch (TP8SB)               ,    495108,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        3.80,I-495 NEAR MD TO JONES BR/RT 267                  ,      1046,SB 495 TP Before Route 267 (TP9SB)                ,     495109,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before Route 267 (TP9SB)                ,    495109,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,RT 267 TO I-395-495 HOV                           ,      1047,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        9.95,RT 267 TO I-95 HOV                                ,      1048,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        9.95,RT 267 TO I-395-95-495                            ,      1049,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Braddock (TP2SB)                   ,    495102,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        8.80,RT 267 TO BRADDOCK                                ,      1050,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Gallows (TP3SB)                    ,    495103,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        7.10,RT 267 TO GALLOWS                                 ,      1051,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before Route 50 (TP4SB)                 ,    495104,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        4.90,RT 267 TO I-66                                    ,      1052,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 66 (TP6SB)                       ,    495106,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        1.40,RT 267 TO WESTPARK                                ,      1053,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Jones Branch (TP8SB)               ,    495108,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,JONES BR TO I-395-495 HOV                         ,      1054,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        9.95,JONES BR TO I-95 HOV                              ,      1055,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,JONES BR TO I-395-95-495                          ,      1056,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Braddock (TP2SB)                   ,    495102,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        8.15,JONES BR TO BRADDOCK                              ,      1057,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Gallows (TP3SB)                    ,    495103,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        6.40,JONES BR TO GALLOWS                               ,      1058,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before Route 50 (TP4SB)                 ,    495104,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        4.25,JONES BR TO I-66                                  ,      1059,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 66 (TP6SB)                       ,    495106,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        2.20,JONES BR TO WESTPARK                              ,      1060,SB 495 TP Past Jones Branch (TP8SB)               ,     495108,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Jones Branch (TP8SB)               ,    495108,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,WESTPARK TO I-395-495 HOV                         ,      1061,SB 495 TP Past Leesburg Pike (TP7SB)              ,     495107,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        8.50,WESTPARK TO I-95 HOV                              ,      1062,SB 495 TP Past Leesburg Pike (TP7SB)              ,     495107,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        8.50,WESTPARK TO I-395-95-495                          ,      1063,SB 495 TP Past Leesburg Pike (TP7SB)              ,     495107,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Braddock (TP2SB)                   ,    495102,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        7.40,WESTPARK TO BRADDOCK                              ,      1064,SB 495 TP Past Leesburg Pike (TP7SB)              ,     495107,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Gallows (TP3SB)                    ,    495103,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        5.65,WESTPARK TO GALLOWS                               ,      1065,SB 495 TP Past Leesburg Pike (TP7SB)              ,     495107,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before Route 50 (TP4SB)                 ,    495104,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        3.45,WESTPARK TO I-66                                  ,      1066,SB 495 TP Past Leesburg Pike (TP7SB)              ,     495107,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 66 (TP6SB)                       ,    495106,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,ROUTE 7 TO I-395-495 HOV                          ,      1067,SB 495 TP Before 66 (TP6SB)                       ,     495106,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        7.75,ROUTE 7 TO I-95 HOV                               ,      1068,SB 495 TP Before 66 (TP6SB)                       ,     495106,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        7.75,ROUTE 7 TO I-395-95-495                           ,      1069,SB 495 TP Before 66 (TP6SB)                       ,     495106,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Braddock (TP2SB)                   ,    495102,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        6.60,ROUTE 7 TO BRADDOCK                               ,      1070,SB 495 TP Before 66 (TP6SB)                       ,     495106,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Gallows (TP3SB)                    ,    495103,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        4.90,ROUTE 7 TO GALLOWS                                ,      1071,SB 495 TP Before 66 (TP6SB)                       ,     495106,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before Route 50 (TP4SB)                 ,    495104,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        2.70,ROUTE 7 TO I-66                                   ,      1072,SB 495 TP Before 66 (TP6SB)                       ,     495106,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 66 (TP6SB)                       ,    495106,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,I-66 TO I-395-495 HOV                             ,      1073,SB 495 TP Before Lee Highway (TP5SB)              ,     495105,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        5.00,I-66 TO I-95 HOV                                  ,      1074,SB 495 TP Before Lee Highway (TP5SB)              ,     495105,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        5.00,I-66 TO I-395-95-495                              ,      1075,SB 495 TP Before Lee Highway (TP5SB)              ,     495105,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Braddock (TP2SB)                   ,    495102,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        3.90,I-66 TO BRADDOCK                                  ,      1076,SB 495 TP Before Lee Highway (TP5SB)              ,     495105,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Gallows (TP3SB)                    ,    495103,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        2.15,I-66 TO GALLOWS                                   ,      1077,SB 495 TP Before Lee Highway (TP5SB)              ,     495105,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before Route 50 (TP4SB)                 ,    495104,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,LEE HWY TO I-395-495 HOV                          ,      1078,SB 495 TP Before Route 50 (TP4SB)                 ,     495104,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        3.90,LEE HWY TO I-95 HOV                               ,      1079,SB 495 TP Before Route 50 (TP4SB)                 ,     495104,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        3.90,LEE HWY TO I-395-95-495                           ,      1080,SB 495 TP Before Route 50 (TP4SB)                 ,     495104,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Braddock (TP2SB)                   ,    495102,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        2.80,LEE HWY TO BRADDOCK                               ,      1081,SB 495 TP Before Route 50 (TP4SB)                 ,     495104,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Past Gallows (TP3SB)                    ,    495103,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        1.10,LEE HWY TO GALLOWS                                ,      1082,SB 495 TP Before Route 50 (TP4SB)                 ,     495104,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before Route 50 (TP4SB)                 ,    495104,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,395-95-495 TO I-395-495 HOV                       ,      1083,SB 495 TP Before 95/395 (TP1SB)                   ,     495101,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,395-95-495 TO I-95 HOV                            ,      1084,SB 495 TP Before 95/395 (TP1SB)                   ,     495101,19/07/26 15:00:00,19/07/26 14:55:00,SB 495 TP Before 95/395 (TP1SB)                   ,    495101,I-495-SB ,4952                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
        0.00,I-495 HOV TO I-395-95-495                         ,      1085,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past 95/395 (TP1NB)                     ,    495001,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       11.45,I-495 HOV TO LEE HWY                              ,      1086,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Route 50 (TP4NB)                   ,    495004,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       14.45,I-495 HOV TO I-66                                 ,      1087,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past Lee Highway (TP5NB)                ,    495005,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       16.50,I-495 HOV TO ROUTE 7                              ,      1088,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Past 66 (TP6NB)                         ,    495006,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
       17.55,I-495 HOV TO WESTPARK                             ,      1089,NB 495 TP Past 95/395 (TP1NB)                     ,     495001,19/07/26 15:00:00,19/07/26 14:55:00,NB 495 TP Before Leesburg Pike (TP7NB)            ,    495007,I-495-NB ,4951                                                                            ,19/07/26 14:50:00,NO_DETERMINATION    
